ID,Name,Keywords,CodeString,MasterID
3753,SB_MotifThree_quantile_bacb,"symbolic,motifs",SB_MotifThree_quantile.bacb,894
3754,SB_MotifThree_quantile_bacc,"symbolic,motifs",SB_MotifThree_quantile.bacc,894
3755,SB_MotifThree_quantile_bbaa,"symbolic,motifs",SB_MotifThree_quantile.bbaa,894
3756,SB_MotifThree_quantile_bbab,"symbolic,motifs",SB_MotifThree_quantile.bbab,894
3757,SB_MotifThree_quantile_bbac,"symbolic,motifs",SB_MotifThree_quantile.bbac,894
3758,SB_MotifThree_quantile_bbba,"symbolic,motifs",SB_MotifThree_quantile.bbba,894
3759,SB_MotifThree_quantile_bbbb,"symbolic,motifs",SB_MotifThree_quantile.bbbb,894
3760,SB_MotifThree_quantile_bbbc,"symbolic,motifs",SB_MotifThree_quantile.bbbc,894
3761,SB_MotifThree_quantile_bbca,"symbolic,motifs",SB_MotifThree_quantile.bbca,894
3762,SB_MotifThree_quantile_bbcb,"symbolic,motifs",SB_MotifThree_quantile.bbcb,894
3763,SB_MotifThree_quantile_bbcc,"symbolic,motifs",SB_MotifThree_quantile.bbcc,894
3764,SB_MotifThree_quantile_bcaa,"symbolic,motifs",SB_MotifThree_quantile.bcaa,894
3765,SB_MotifThree_quantile_bcab,"symbolic,motifs",SB_MotifThree_quantile.bcab,894
3766,SB_MotifThree_quantile_bcac,"symbolic,motifs",SB_MotifThree_quantile.bcac,894
3767,SB_MotifThree_quantile_bcba,"symbolic,motifs",SB_MotifThree_quantile.bcba,894
3768,SB_MotifThree_quantile_bcbb,"symbolic,motifs",SB_MotifThree_quantile.bcbb,894
3769,SB_MotifThree_quantile_bcbc,"symbolic,motifs",SB_MotifThree_quantile.bcbc,894
3770,SB_MotifThree_quantile_bcca,"symbolic,motifs",SB_MotifThree_quantile.bcca,894
3771,SB_MotifThree_quantile_bccb,"symbolic,motifs",SB_MotifThree_quantile.bccb,894
3772,SB_MotifThree_quantile_bccc,"symbolic,motifs",SB_MotifThree_quantile.bccc,894
3773,SB_MotifThree_quantile_caaa,"symbolic,motifs",SB_MotifThree_quantile.caaa,894
3774,SB_MotifThree_quantile_caab,"symbolic,motifs",SB_MotifThree_quantile.caab,894
3775,SB_MotifThree_quantile_caac,"symbolic,motifs",SB_MotifThree_quantile.caac,894
3776,SB_MotifThree_quantile_caba,"symbolic,motifs",SB_MotifThree_quantile.caba,894
3777,SB_MotifThree_quantile_cabb,"symbolic,motifs",SB_MotifThree_quantile.cabb,894
3778,SB_MotifThree_quantile_cabc,"symbolic,motifs",SB_MotifThree_quantile.cabc,894
3779,SB_MotifThree_quantile_caca,"symbolic,motifs",SB_MotifThree_quantile.caca,894
3780,SB_MotifThree_quantile_cacb,"symbolic,motifs",SB_MotifThree_quantile.cacb,894
3781,SB_MotifThree_quantile_cacc,"symbolic,motifs",SB_MotifThree_quantile.cacc,894
3782,SB_MotifThree_quantile_cbaa,"symbolic,motifs",SB_MotifThree_quantile.cbaa,894
3783,SB_MotifThree_quantile_cbab,"symbolic,motifs",SB_MotifThree_quantile.cbab,894
3784,SB_MotifThree_quantile_cbac,"symbolic,motifs",SB_MotifThree_quantile.cbac,894
3785,SB_MotifThree_quantile_cbba,"symbolic,motifs",SB_MotifThree_quantile.cbba,894
3786,SB_MotifThree_quantile_cbbb,"symbolic,motifs",SB_MotifThree_quantile.cbbb,894
3787,SB_MotifThree_quantile_cbbc,"symbolic,motifs",SB_MotifThree_quantile.cbbc,894
3788,SB_MotifThree_quantile_cbca,"symbolic,motifs",SB_MotifThree_quantile.cbca,894
3789,SB_MotifThree_quantile_cbcb,"symbolic,motifs",SB_MotifThree_quantile.cbcb,894
